tweet_id,favorites,retweets,user_followers,user_favourites,date_time
672264251789176834,1172,352,7415096,139459,2015-12-03 04:01:02
672267570918129665,1533,635,7415096,139459,2015-12-03 04:14:13
672272411274932228,6599,3510,7415096,139459,2015-12-03 04:33:27
672466075045466113,1383,559,7415096,139459,2015-12-03 17:23:00
672475084225949696,1465,725,7415096,139459,2015-12-03 17:58:48
672481316919734272,730,128,7415096,139459,2015-12-03 18:23:34
672482722825261057,1161,628,7415096,139459,2015-12-03 18:29:09
672488522314567680,1139,452,7415096,139459,2015-12-03 18:52:12
672523490734551040,657,178,7415096,139459,2015-12-03 21:11:09
672538107540070400,1051,382,7415096,139459,2015-12-03 22:09:14
672591271085670400,746,193,7415096,139459,2015-12-04 01:40:29
672591762242805761,972,345,7415096,139459,2015-12-04 01:42:26
672594978741354496,1356,625,7415096,139459,2015-12-04 01:55:13
672604026190569472,1139,418,7415096,139459,2015-12-04 02:31:10
672609152938721280,1141,402,7415096,139459,2015-12-04 02:51:33
672614745925664768,1247,606,7415096,139459,2015-12-04 03:13:46
672622327801233409,1322,514,7415096,139459,2015-12-04 03:43:54
672640509974827008,994,334,7415097,139459,2015-12-04 04:56:09
672828477930868736,1276,508,7415097,139459,2015-12-04 17:23:04
672834301050937345,1343,591,7415097,139459,2015-12-04 17:46:12
672877615439593473,1054,381,7415097,139459,2015-12-04 20:38:19
672884426393653248,1587,856,7415097,139459,2015-12-04 21:05:23
672898206762672129,912,436,7415097,139459,2015-12-04 22:00:08
672902681409806336,1393,525,7415097,139459,2015-12-04 22:17:55
672964561327235073,1455,663,7415097,139459,2015-12-05 02:23:49
672968025906282496,1340,568,7415097,139459,2015-12-05 02:37:35
672970152493887488,972,369,7415097,139459,2015-12-05 02:46:02
672975131468300288,1723,950,7415097,139459,2015-12-05 03:05:49
672980819271634944,1850,1037,7415097,139459,2015-12-05 03:28:25
672984142909456390,1278,563,7415097,139459,2015-12-05 03:41:37
672988786805112832,1002,303,7415097,139459,2015-12-05 04:00:04
672995267319328768,977,309,7415097,139459,2015-12-05 04:25:50
672997845381865473,2009,749,7415097,139459,2015-12-05 04:36:04
673148804208660480,1735,655,7415097,139459,2015-12-05 14:35:56
673213039743795200,2305,881,7415097,139459,2015-12-05 18:51:11
673240798075449344,1452,760,7415097,139459,2015-12-05 20:41:29
673270968295534593,1090,384,7415097,139459,2015-12-05 22:41:22
673295268553605120,7697,3291,7415097,139459,2015-12-06 00:17:55
673317986296586240,888,271,7415097,139459,2015-12-06 01:48:12
673320132811366400,13794,8275,7415097,139459,2015-12-06 01:56:44
673342308415348736,1302,611,7415097,139459,2015-12-06 03:24:51
673343217010679808,997,280,7415097,139459,2015-12-06 03:28:27
673345638550134785,2588,1330,7415097,139459,2015-12-06 03:38:05
673350198937153538,758,222,7415097,139459,2015-12-06 03:56:12
673352124999274496,1688,560,7415097,139459,2015-12-06 04:03:51
673355879178194945,1527,606,7415097,139459,2015-12-06 04:18:46
673359818736984064,1485,697,7415097,139459,2015-12-06 04:34:25
673363615379013632,1046,319,7415097,139459,2015-12-06 04:49:31
673576835670777856,1420,584,7415097,139459,2015-12-06 18:56:46
673580926094458881,852,276,7415097,139459,2015-12-06 19:13:01
673583129559498752,1222,383,7415097,139459,2015-12-06 19:21:47
673612854080196609,1624,751,7415097,139459,2015-12-06 21:19:54
673636718965334016,1141,379,7415097,139459,2015-12-06 22:54:44
673656262056419329,735,253,7415097,139459,2015-12-07 00:12:23
673662677122719744,1279,375,7415097,139459,2015-12-07 00:37:52
673680198160809984,1408,485,7415097,139459,2015-12-07 01:47:30
673686845050527744,1482,455,7415097,139459,2015-12-07 02:13:55
673688752737402881,1296,518,7415097,139459,2015-12-07 02:21:29
673689733134946305,1781,677,7415097,139459,2015-12-07 02:25:23
673697980713705472,3907,2044,7415097,139459,2015-12-07 02:58:09
673700254269775872,1477,595,7415097,139459,2015-12-07 03:07:12
673705679337693185,1289,413,7415097,139459,2015-12-07 03:28:45
673707060090052608,1127,405,7415097,139459,2015-12-07 03:34:14
673708611235921920,1103,300,7415097,139459,2015-12-07 03:40:24
673709992831262724,872,284,7415097,139459,2015-12-07 03:45:53
673711475735838725,1064,309,7415097,139459,2015-12-07 03:51:47
673715861853720576,3633,2181,7415097,139459,2015-12-07 04:09:13
673887867907739649,956,262,7415097,139459,2015-12-07 15:32:42
673906403526995968,3277,1689,7415097,139459,2015-12-07 16:46:21
673919437611909120,1199,383,7415097,139459,2015-12-07 17:38:09
673956914389192708,2001,1007,7415097,139459,2015-12-07 20:07:04
674008982932058114,1233,368,7415097,139459,2015-12-07 23:33:58
674014384960745472,1606,675,7415097,139459,2015-12-07 23:55:26
674019345211760640,1167,312,7415706,139461,2015-12-08 00:15:09
674024893172875264,1831,1286,7415097,139459,2015-12-08 00:37:11
674036086168010753,867,226,7415097,139459,2015-12-08 01:21:40
674038233588723717,1127,429,7415097,139459,2015-12-08 01:30:12
674042553264685056,741,134,7415097,139459,2015-12-08 01:47:22
674045139690631169,1462,669,7415097,139459,2015-12-08 01:57:39
674051556661161984,1486,504,7415706,139461,2015-12-08 02:23:09
674053186244734976,3417,1362,7415097,139459,2015-12-08 02:29:37
674063288070742018,6542,2328,7415097,139459,2015-12-08 03:09:46
674075285688614912,1004,301,7415097,139459,2015-12-08 03:57:26
674082852460433408,775,179,7415097,139459,2015-12-08 04:27:30
674255168825880576,1511,584,7415097,139459,2015-12-08 15:52:13
674262580978937856,1340,478,7415097,139459,2015-12-08 16:21:41
674265582246694913,1683,887,7415097,139459,2015-12-08 16:33:36
674269164442398721,922,238,7415097,139459,2015-12-08 16:47:50
674271431610523648,1612,763,7415097,139459,2015-12-08 16:56:51
674291837063053312,15178,6170,7415097,139459,2015-12-08 18:17:56
674318007229923329,1454,538,7415097,139459,2015-12-08 20:01:55
674372068062928900,870,324,7415097,139459,2015-12-08 23:36:44
674394782723014656,1543,601,7415097,139459,2015-12-09 01:07:00
674410619106390016,1231,485,7415097,139459,2015-12-09 02:09:56
674416750885273600,704,147,7415097,139459,2015-12-09 02:34:18
674422304705744896,1473,558,7415097,139459,2015-12-09 02:56:22
674436901579923456,1146,414,7415097,139459,2015-12-09 03:54:22
674447403907457024,1091,373,7415097,139459,2015-12-09 04:36:06
674468880899788800,6412,2160,7415097,139459,2015-12-09 06:01:26
674632714662858753,1546,604,7415097,139459,2015-12-09 16:52:27
674638615994089473,1733,608,7415097,139459,2015-12-09 17:15:54
674644256330530816,1063,283,7415097,139459,2015-12-09 17:38:19
674646392044941312,1485,526,7415097,139459,2015-12-09 17:46:48
674664755118911488,950,266,7415097,139459,2015-12-09 18:59:46
674670581682434048,1663,688,7415097,139459,2015-12-09 19:22:56
674690135443775488,1184,489,7415097,139459,2015-12-09 20:40:38
674737130913071104,665,96,7415097,139459,2015-12-09 23:47:22
674739953134403584,1145,416,7415097,139459,2015-12-09 23:58:35
674743008475090944,1447,582,7415097,139459,2015-12-10 00:10:43
674752233200820224,1505,487,7415097,139459,2015-12-10 00:47:23
674754018082705410,1403,469,7415097,139459,2015-12-10 00:54:28
674764817387900928,809,249,7415097,139459,2015-12-10 01:37:23
674767892831932416,1886,836,7415097,139459,2015-12-10 01:49:36
674774481756377088,1167,499,7415097,139459,2015-12-10 02:15:47
674781762103414784,2069,1268,7415097,139459,2015-12-10 02:44:43
674788554665512960,837,219,7415097,139459,2015-12-10 03:11:43
674790488185167872,1141,266,7415097,139459,2015-12-10 03:19:24
674793399141146624,2585,1148,7415097,139459,2015-12-10 03:30:58
674800520222154752,3101,903,7415097,139459,2015-12-10 03:59:15
674805413498527744,886,370,7415097,139459,2015-12-10 04:18:42
674999807681908736,2322,1157,7415097,139459,2015-12-10 17:11:09
675003128568291329,1599,499,7415097,139459,2015-12-10 17:24:21
675006312288268288,1011,237,7415097,139459,2015-12-10 17:37:00
675015141583413248,2804,1263,7415097,139459,2015-12-10 18:12:05
675047298674663426,1096,343,7415097,139459,2015-12-10 20:19:52
675109292475830276,2884,1192,7415097,139459,2015-12-11 00:26:12
675111688094527488,996,266,7415097,139459,2015-12-11 00:35:44
675113801096802304,2016,822,7415097,139459,2015-12-11 00:44:07
675135153782571009,1342,519,7415097,139459,2015-12-11 02:08:58
675145476954566656,2210,951,7415097,139459,2015-12-11 02:49:59
675146535592706048,1235,328,7415097,139459,2015-12-11 02:54:12
675147105808306176,976,253,7415097,139459,2015-12-11 02:56:28
675149409102012420,3865,1773,7415097,139459,2015-12-11 03:05:37
675153376133427200,6499,2744,7415096,139459,2015-12-11 03:21:23
675166823650848770,3736,1706,7415096,139459,2015-12-11 04:14:49
675334060156301312,2876,1362,7415096,139459,2015-12-11 15:19:21
675349384339542016,4055,2379,7415096,139459,2015-12-11 16:20:15
675354435921575936,33931,18103,7415096,139459,2015-12-11 16:40:19
675362609739206656,1080,241,7415096,139459,2015-12-11 17:12:48
675372240448454658,1758,533,7415096,139459,2015-12-11 17:51:04
675432746517426176,1580,597,7415096,139459,2015-12-11 21:51:30
675483430902214656,1914,1025,7415096,139459,2015-12-12 01:12:54
675489971617296384,1349,629,7415096,139459,2015-12-12 01:38:53
675497103322386432,3253,1369,7415096,139459,2015-12-12 02:07:14
675501075957489664,17733,6137,7415096,139459,2015-12-12 02:23:01
675517828909424640,1355,483,7415096,139459,2015-12-12 03:29:35
